# class=rough
# date=20260426_012843
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=1000
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
1177073,1942,478,8724,216,-53,193,129
1177083,1835,894,8780,87,68,205,130
1177093,1802,161,8057,127,186,190,131
1177103,1904,298,8301,262,-9,177,132
1177113,1634,453,8899,181,-178,194,133
1177123,2017,-521,8692,307,-1,171,134
1177133,2286,1221,8100,-14,136,211,135
1177143,1905,-33,8152,40,69,183,136
1177153,1430,565,8310,313,-92,146,137
1177163,1777,596,8814,150,-313,186,138
1177173,1826,-319,8636,364,-30,137,139
1177183,1726,891,8100,51,95,192,140
1177193,1571,179,8200,80,57,181,141
1177203,1517,456,8125,359,-35,149,142
1177213,1579,543,8228,182,-226,192,143
1177223,1894,94,8457,324,-41,178,144
1177233,1861,257,7811,88,138,221,145
1177243,1434,-40,7698,116,72,226,146
1177253,1404,335,7822,203,-114,212,147
1177263,1219,-81,8507,192,-251,224,148
1177273,1243,-30,8371,150,-1,231,149
1177283,1473,472,8044,-83,208,271,150
1177293,1471,-516,7896,-8,181,270,151
1177303,1563,-64,7790,90,-8,268,152
1177313,1429,-180,8472,-20,-144,280,153
1177323,1670,-488,8662,70,112,252,154
1177333,1746,166,7678,-215,275,296,155
1177343,1565,-151,7938,-119,146,285,156
1177353,1442,-489,8599,6,48,271,157
1177363,1357,185,8495,-50,19,285,158
1177373,1978,-315,8332,-132,171,292,159
1177383,1553,-304,8191,-104,293,275,160
1177393,1995,203,7574,-246,236,291,161
1177403,1585,-229,8309,-53,-10,258,162
1177413,1320,58,8877,6,-87,247,163
1177423,1938,173,8468,-148,114,261,164
1177433,1743,230,8753,-169,229,255,165
1177443,1679,243,8177,-320,302,266,166
1177453,1425,275,8466,-153,142,225,167
1177463,1486,141,9125,-121,-84,227,168
1177473,1527,149,8955,-84,37,210,169
1177483,1763,505,8565,-286,266,228,170
1177493,2158,117,8212,-285,347,220,171
1177503,2103,702,8263,-189,168,204,172
1177513,1689,539,9132,-101,-83,203,173
1177523,1707,786,8612,-49,78,182,174
1177533,1839,658,8568,-204,178,193,175
1177543,1766,783,8444,-122,193,186,176
1177553,1781,464,8795,-51,44,185,177
1177563,1845,621,9019,49,41,167,178
1177573,2162,741,8567,-93,197,187,179
1177583,1987,355,8716,5,169,166,180
1177593,1388,733,9009,4,173,167,181
1177603,1979,1130,8366,-18,207,182,182
1177613,2072,436,8701,119,104,167,183
1177623,1691,1151,9061,54,164,180,184
1177633,2049,899,8675,-18,188,188,185
1177643,1966,327,8391,226,114,156,186
1177653,1706,1209,8493,85,-7,183,187
1177663,1874,463,9132,153,-11,189,188
1177673,2183,565,8902,212,113,187,189
