# class=pothole
# date=20260426_041704
# sample_rate_hz=100
# accel_range=4g
# gyro_range=500dps
# accel_scale=8192.0
# gyro_scale=65.5
# total_samples=500
# missed_frames=0
# crc_errors=0
tick_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,seq
3199903,2518,415,8140,89,143,-96,172
3199913,2185,121,8917,-171,167,-50,173
3199923,2287,565,7445,-100,468,-61,174
3199933,1476,-95,8428,-8,-134,-56,175
3199943,1820,128,8419,192,-256,-87,176
3199953,2142,122,8297,-44,-26,-60,177
3199963,2051,-383,8285,-58,250,-73,178
3199973,2404,785,7046,-256,497,-42,179
3199983,2014,-400,8284,10,-104,-83,180
3199993,2233,441,8249,253,-149,-110,181
3200003,1992,185,9161,-24,-260,-57,182
3200013,2222,-267,8239,113,317,-84,183
3200023,2161,264,7510,-122,338,-37,184
3200033,1402,-381,8564,122,-174,-86,185
3200043,1652,205,8108,276,-153,-118,186
3200053,1490,149,8753,56,-128,-80,187
3200063,2055,296,7318,20,568,-96,188
3200073,2101,794,7267,-138,449,-70,189
3200083,1878,79,7790,170,-28,-128,190
3200093,1978,482,7737,402,-263,-158,191
3200103,1496,-241,8938,261,-422,-133,192
3200113,1895,850,7725,139,256,-124,193
3200123,1669,23,8323,-21,231,-104,194
3200133,1837,285,7539,212,145,-153,195
3200143,2066,291,8347,139,-257,-128,196
3200153,2090,-453,8901,337,-166,-170,197
3200163,2006,783,8188,-10,176,-103,198
3200173,1754,-893,8782,47,56,-125,199
3200183,2374,923,7664,234,245,-158,200
3200193,1767,-387,9028,-42,-331,-105,201
3200203,1919,-14,8239,421,71,-187,202
3200213,1919,-14,8239,421,71,-187,203
3200223,2013,252,8463,-69,22,-77,204
3200233,1836,-696,8848,220,41,-143,205
3200243,2331,228,7817,127,313,-112,206
3200253,1922,-348,9377,52,-207,-98,207
3200263,2207,323,7951,201,274,-128,208
3200273,1919,-576,8745,59,-5,-90,209
3200283,1901,158,8528,178,51,-111,210
3200293,1895,-409,8190,72,101,-88,211
3200303,1703,-252,8290,226,51,-124,212
3200313,2180,95,7908,-64,143,-67,213
3200323,1981,-681,8749,167,95,-115,214
3200333,2332,428,7985,-20,187,-67,215
3200343,2189,-569,9064,78,-121,-81,216
3200353,2516,174,7930,134,222,-104,217
3200363,1942,-213,9725,-37,-194,-62,218
3200373,1616,-161,8291,167,131,-100,219
3200383,1655,-121,8580,26,2,-72,220
3200393,2159,-642,8685,67,87,-84,221
3200403,2374,205,8160,-9,282,-91,222
3200413,2028,13,8233,-73,126,-85,223
3200423,1941,9,8413,127,79,-117,224
3200433,2151,62,8296,59,-57,-93,225
3200443,1885,-516,8976,133,-76,-103,226
3200453,1800,-88,8164,5,199,-85,227
3200463,1819,-703,8773,-29,150,-89,228
3200473,2326,472,8186,-35,238,-88,229
3200483,1646,-393,8486,-68,20,-83,230
3200493,1792,-3,8657,117,6,-110,231
3200503,1874,-21,8620,-144,32,-60,232
3200513,1710,-774,8382,97,164,-116,233
3200523,2119,431,7769,-176,211,-65,234
3200533,1523,-497,9027,-41,-50,-89,235
3200543,1965,450,7669,60,214,-102,236
3200553,1620,-2,8545,-99,-83,-61,237
3200563,2162,-296,8061,95,208,-103,238
3200573,2239,119,8214,-113,176,-60,239
3200583,1815,-357,8463,-33,11,-74,240
3200593,1859,154,8078,-2,48,-78,241
3200603,1638,-124,8789,30,-162,-81,242
3200613,1915,383,8760,-31,74,-69,243
3200623,1845,-107,8072,-120,283,-56,244
3200633,2179,389,7709,-56,299,-65,245
3200643,1614,-18,8284,-109,-46,-55,246
3200653,1732,-196,8473,107,-166,-95,247
3200663,1953,169,8343,-17,-46,-69,248
3200673,1945,-72,8756,-102,128,-62,249
3200683,2336,81,7800,-196,396,-49,250
3200693,2111,61,8039,-83,114,-63,251
3200703,1886,91,8637,-9,-171,-74,252
3200713,1297,-400,8695,33,-227,-70,253
3200723,1969,93,8774,-70,73,-45,254
3200733,1996,-218,8256,-287,457,-29,255
3200743,2099,30,7755,-210,474,-55,0
3200753,1813,169,7979,-123,36,-62,1
3200763,1250,-69,8354,130,-275,-107,2
3200773,1733,200,8365,74,-53,-94,3
3200783,1828,-312,8264,-59,289,-74,4
3200793,1635,282,7663,-104,488,-74,5
3200803,1702,131,7726,-3,165,-92,6
3200813,1713,31,8225,254,-156,-141,7
3200823,1546,409,8530,107,-149,-106,8
3200833,1625,-247,8452,161,181,-117,9
3200843,1997,597,7836,3,434,-90,10
3200853,1652,272,8079,-8,125,-86,11
3200863,1957,31,8167,237,16,-135,12
3200873,1957,31,8167,237,16,-135,13
3200883,2150,501,8217,46,-105,-97,14
3200893,1490,-43,8679,101,4,-114,15
3200903,1893,574,8027,-25,288,-86,16
3200913,1822,-421,8838,-58,0,-77,17
3200923,2076,508,8234,118,77,-118,18
3200933,1634,-418,8310,-95,-53,-74,19
3200943,2358,-43,8398,28,107,-82,20
3200953,2162,-91,8326,-206,176,-42,21
3200963,1444,-341,8717,56,-20,-92,22
3200973,1863,337,8111,-84,-12,-63,23
3200983,2002,-1010,9510,48,-196,-85,24
3200993,2321,404,7839,-54,361,-64,25
3201003,1713,-262,8611,-198,32,-33,26
3201013,1940,-567,8168,161,79,-99,27
3201023,1886,191,8463,-65,-235,-53,28
3201033,2027,-569,9589,133,-165,-96,29
3201043,2457,326,8045,-52,441,-58,30
3201053,1826,152,9033,-168,18,-31,31
3201063,1709,-259,8355,240,-13,-110,32
3201073,1549,68,8770,150,-450,-91,33
3201083,2203,73,8923,110,-197,-94,34
3201093,2259,-258,8643,-57,317,-70,35
3201103,2196,406,8569,-288,194,-10,36
3201113,2382,-81,8396,-11,-43,-61,37
3201123,1783,-289,8505,97,-360,-72,38
3201133,1542,197,9451,-205,-516,-4,39
3201143,1307,-593,8314,-117,105,-45,40
3201153,1380,85,7979,-315,124,-8,41
3201163,1660,-204,8840,-268,-138,-32,42
3201173,1696,-51,7607,-8,46,-99,43
3201183,2088,296,8380,-217,-188,-45,44
3201193,1922,-178,8535,-34,84,-78,45
3201203,1743,279,8213,-41,27,-57,46
3201213,1314,-192,8847,73,-340,-74,47
3201223,1665,260,7966,184,-77,-119,48
3201233,1534,-289,8347,-72,-76,-85,49
3201243,1799,652,8106,-8,179,-91,50
3201253,1659,-99,7796,-127,171,-62,51
3201263,1845,-218,8389,205,-100,-113,52
3201273,1816,866,8307,-77,-103,-74,53
3201283,1346,-472,8616,78,-64,-133,54
3201293,1590,767,7677,-3,176,-110,55
3201303,1301,343,8321,-78,-72,-88,56
3201313,1462,562,7699,205,165,-133,57
3201323,1836,416,8043,-30,8,-77,58
3201333,1568,68,8161,210,133,-135,59
3201343,1563,685,7853,24,84,-98,60
3201353,1717,-252,8775,192,-78,-122,61
3201363,2159,908,7626,206,233,-113,62
3201373,1193,29,9347,94,-143,-96,63
3201383,1686,614,7661,285,292,-129,64
3201393,1408,84,8367,169,13,-110,65
3201403,1751,172,8144,256,97,-125,66
3201413,1528,-235,8445,171,105,-103,67
3201423,1741,227,7977,204,204,-112,68
3201433,1639,136,8458,96,80,-103,69
3201443,1616,-261,8415,222,70,-128,70
3201453,1650,-176,8256,153,79,-106,71
3201463,1512,-460,8462,129,3,-100,72
3201473,1831,-349,8181,101,208,-95,73
3201483,1874,-318,8740,-27,59,-78,74
3201493,1847,-379,7734,26,224,-99,75
3201503,1619,-363,8728,39,5,-105,76
3201513,1589,-122,8598,14,1,-101,77
3201523,1592,-798,8229,89,120,-119,78
3201533,1803,192,7940,19,103,-99,79
3201543,1801,-725,8601,39,-38,-110,80
3201553,1801,-725,8601,39,-38,-110,81
3201563,1523,112,7960,156,141,-143,82
3201573,1630,-196,8769,44,-95,-123,83
3201583,1869,249,8474,212,130,-157,84
3201593,1771,-80,8094,58,129,-131,85
3201603,1679,-32,8124,260,30,-173,86
3201613,1507,182,8626,174,-129,-159,87
3201623,1544,-238,9077,246,-99,-171,88
3201633,1859,513,8415,65,206,-139,89
3201643,1838,-556,8414,-21,180,-126,90
3201653,1799,196,8395,127,115,-149,91
3201663,1498,-438,8773,-73,-245,-109,92
3201673,1480,-433,9206,189,-152,-150,93
3201683,1857,302,8095,-307,284,-64,94
3201693,1446,-759,8747,-245,223,-79,95
3201703,1955,32,7575,-193,296,-67,96
3201713,1138,-306,8876,-143,-322,-70,97
3201723,1768,-560,8969,23,-103,-94,98
3201733,1950,-228,8641,-193,238,-54,99
3201743,1615,-62,8355,-302,382,-39,100
3201753,1710,-498,8122,-83,237,-63,101
3201763,1952,134,8700,85,-187,-81,102
3201773,1754,-433,9363,-18,-164,-66,103
3201783,1849,-370,9183,47,331,-89,104
3201793,1994,451,8270,-339,487,-21,105
3201803,1514,-558,9226,27,97,-87,106
3201813,1945,442,8237,87,21,-96,107
3201823,1822,-473,9501,-32,-171,-83,108
3201833,2374,424,8803,-32,467,-93,109
3201843,2214,-311,8819,-416,450,-26,110
3201853,1972,214,8441,-25,337,-91,111
3201863,2077,-1,8402,-237,-28,-53,112
3201873,965,-561,9210,65,-204,-107,113
3201883,1801,1086,8542,-311,211,-47,114
3201893,1007,-502,8623,-317,374,-83,115
3201903,2144,470,7485,-140,544,-113,116
3201913,2213,508,7637,-309,245,-78,117
3201923,1928,-246,8082,97,67,-141,118
3201933,1805,440,7917,-6,27,-98,119
3201943,1463,74,8900,95,-172,-125,120
3201953,1784,354,8178,114,197,-140,121
3201963,1818,320,8604,-41,152,-111,122
3201973,1561,420,7762,59,356,-132,123
3201983,2093,256,8151,80,80,-121,124
3201993,1864,-60,7801,206,2,-139,125
3202003,1607,901,8569,126,-104,-117,126
3202013,1787,196,8244,43,111,-118,127
3202023,1919,460,7757,173,259,-148,128
3202033,1349,623,7566,-37,-18,-105,129
3202043,1554,-36,8393,326,-164,-168,130
3202053,1738,418,7770,189,-15,-145,131
3202063,1638,606,8209,23,-80,-123,132
3202073,1667,246,7873,159,208,-161,133
3202083,1937,840,7617,83,51,-145,134
3202093,1525,12,8580,187,-247,-158,135
3202103,1514,-159,8320,351,-153,-183,136
3202113,2044,236,8133,100,-89,-138,137
3202123,1702,-232,8632,122,21,-157,138
3202133,1706,239,8122,93,154,-151,139
3202143,1642,-250,8224,144,-74,-154,140
3202153,1645,-133,8230,291,-140,-171,141
3202163,1587,-501,8809,181,-196,-136,142
3202173,1673,-512,8080,190,116,-138,143
3202183,2003,-345,8071,30,145,-104,144
3202193,1798,-468,8569,74,28,-111,145
3202203,1713,-266,8192,82,39,-112,146
3202213,1713,-266,8192,82,39,-112,147
3202223,1644,-895,8592,138,-135,-111,148
3202233,1563,156,8350,120,-62,-102,149
3202243,1593,-749,8662,65,-36,-98,150
3202253,1911,-184,8537,142,193,-108,151
3202263,1478,148,8194,-84,160,-68,152
3202273,1763,-765,8158,198,62,-120,153
3202283,1702,169,8216,157,-21,-105,154
3202293,1490,-459,9145,79,-162,-96,155
3202303,1828,20,7999,190,289,-127,156
3202313,1485,16,8685,-86,52,-85,157
3202323,1817,-138,7882,180,162,-142,158
3202333,1595,80,8176,54,-50,-112,159
3202343,1605,-166,8805,47,-122,-116,160
3202353,1977,-261,8248,30,231,-122,161
3202363,1423,148,8617,-134,40,-95,162
3202373,1793,109,7759,-78,125,-109,163
3202383,1638,-624,8934,28,-151,-122,164
3202393,1876,450,8442,-112,-28,-84,165
3202403,1591,-521,8651,-130,104,-90,166
3202413,1829,53,7855,-113,220,-87,167
3202423,1564,-59,8250,-181,-91,-77,168
3202433,1587,-387,7954,107,-76,-138,169
3202443,1863,-166,8405,-97,-116,-88,170
3202453,1783,59,8658,-73,110,-99,171
3202463,1451,-73,8261,-86,225,-88,172
3202473,1602,33,8676,40,-69,-98,173
3202483,2058,-1,8159,75,-68,-116,174
3202493,1775,-495,9100,90,-146,-118,175
3202503,1522,451,8160,-65,195,-81,176
3202513,1307,-25,8968,-91,54,-75,177
3202523,1856,-401,7790,91,206,-107,178
3202533,1992,200,8428,-27,-70,-88,179
3202543,1853,-303,8947,-28,18,-92,180
3202553,1469,332,8304,-39,209,-89,181
3202563,1606,99,9039,-141,-37,-66,182
3202573,1596,27,8528,66,102,-102,183
3202583,1693,81,8510,-64,47,-78,184
3202593,1773,141,8065,-51,180,-92,185
3202603,1886,-202,8213,-30,206,-97,186
3202613,1553,525,8998,-34,-50,-86,187
3202623,1465,-76,8426,58,52,-120,188
3202633,1729,222,8614,66,62,-122,189
3202643,1889,99,8606,-50,162,-111,190
3202653,2124,34,8150,16,236,-127,191
3202663,1658,42,8458,67,45,-128,192
3202673,1565,627,8585,75,-60,-132,193
3202683,1880,-426,9162,69,11,-139,194
3202693,1994,488,7760,43,355,-140,195
3202703,1707,-302,8486,-83,133,-111,196
3202713,2033,150,7999,165,118,-150,197
3202723,1669,-104,8685,16,-93,-129,198
3202733,1776,-18,8865,137,1,-150,199
3202743,1808,261,8329,-41,295,-116,200
3202753,1819,-506,8415,13,176,-122,201
3202763,1807,34,7689,86,180,-130,202
3202773,1503,-241,8892,88,-182,-119,203
3202783,1794,-123,8345,122,90,-121,204
3202793,1747,-13,8344,-77,184,-89,205
3202803,1852,-331,8454,-17,223,-104,206
3202813,1563,121,7958,38,177,-106,207
3202823,1630,-118,8875,69,-178,-98,208
3202833,1871,-389,8181,200,143,-125,209
3202843,1739,193,8675,-39,66,-76,210
3202853,1739,193,8675,-39,66,-76,211
3202863,1750,-421,8030,36,293,-97,212
3202873,1813,254,7945,143,169,-112,213
3202883,1653,-191,8645,41,-159,-82,214
3202893,1531,-218,8214,257,45,-135,215
3202903,1901,-150,8442,-58,64,-82,216
3202913,1962,-173,8528,38,184,-110,217
3202923,1761,366,7669,-44,247,-99,218
3202933,1726,-546,9200,29,-244,-106,219
3202943,1967,-90,7635,159,133,-141,220
3202953,1679,18,8969,-131,-195,-79,221
3202963,1743,-570,8162,17,192,-123,222
3202973,2188,420,7628,-149,171,-93,223
3202983,1590,-766,9102,-65,-230,-108,224
3202993,1871,26,7502,86,147,-138,225
3203003,2118,-254,9410,-210,-317,-73,226
3203013,1729,-342,8240,83,179,-138,227
3203023,1575,500,8166,-166,26,-94,228
3203033,2026,-560,8404,-28,-67,-119,229
3203043,2060,50,7728,48,68,-127,230
3203053,1298,-266,8906,-84,-229,-98,231
3203063,1999,77,8239,79,107,-134,232
3203073,2175,-141,8247,-124,33,-101,233
3203083,1528,-166,8169,27,52,-131,234
3203093,1437,197,8084,-44,-28,-112,235
3203103,1440,-286,9014,123,-278,-140,236
3203113,1682,-46,8251,58,108,-130,237
3203123,2010,138,8348,-124,185,-99,238
3203133,1884,15,7322,-84,420,-116,239
3203143,1621,529,8182,59,-123,-122,240
3203153,1289,56,8644,133,-381,-130,241
3203163,1466,-434,8678,275,-175,-159,242
3203173,1656,324,8070,-134,253,-83,243
3203183,1831,82,8002,-146,364,-88,244
3203193,2296,150,7355,12,262,-110,245
3203203,1376,-49,9189,129,-454,-117,246
3203213,1504,361,8159,144,-139,-132,247
3203223,1706,-323,8396,8,64,-115,248
3203233,2205,482,7752,-93,317,-94,249
3203243,1345,-210,8011,-75,81,-100,250
3203253,1680,52,8653,198,-202,-137,251
3203263,1722,64,8382,3,-126,-108,252
3203273,1635,-163,8912,69,19,-119,253
3203283,1796,-6,7950,-126,335,-85,254
3203293,1871,-156,8722,28,-9,-108,255
